Year,Metabolite,Country,City,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
2016,methamphetamine,AT,Innsbruck,2.56,1.85,1.63,1.83,1.96,2.85,1.37,1.93,02.07,02.01
2016,methamphetamine,BE,Antwerp Deurne,3.58,3.67,3.35,3.42,3.5,3.3,3.17,3.47,3.39,3.43
2016,methamphetamine,BE,Antwerp Zuid,7.52,6.65,8.64,9.19,13.2,9.95,9.57,7.91,10.25,9.25
2016,methamphetamine,BE,Brussels,2.47,3.14,3.14,4.48,4.71,4.94,4,3.2,4.32,3.84
2016,methamphetamine,BE,Koksijde,0,0,0,0,0,0,0,0,0,0
2016,methamphetamine,BE,Oostende,0,0,0,0,0,0,0,0,0,0
2016,methamphetamine,CH,Basel,20.43,21.36,17.44,18.03,17.54,19.08,18.87,20.22,18.02,18.97
2016,methamphetamine,CH,Berne,10.27,9.71,8.18,7.86,7.18,8.4,7.94,9.31,7.9,8.51
2016,methamphetamine,CH,Geneva,08.01,7.39,7.46,6.54,5.88,,5.9,7.1,6.63,6.86
2016,methamphetamine,CH,Lugano,0.65,0.26,0.24,0.77,0.22,0.23,0.23,0.38,0.37,0.37
2016,methamphetamine,CH,Zurich,23.03,25.15,25.02,26.33,25.3,26.41,25.74,24.64,25.77,25.28
2016,methamphetamine,CY,Limassol,17.21,15.93,15.58,7.75,10.35,13.45,18.04,17.06,11.78,14.04
2016,methamphetamine,CZ,České Budějovice,274.92,206.48,247.88,287.26,272.39,313.75,230.63,237.34,280.32,261.9
2016,methamphetamine,DE,Dortmund,6.11,04.08,3.31,3.45,03.02,2.49,3.65,4.61,03.07,3.73
2016,methamphetamine,DE,Dresden,135.18,135.34,137.3,150.88,128.63,132.86,136.65,135.72,137.42,136.69
2016,methamphetamine,DE,Dülmen,1.94,2.14,8.92,2.12,2.53,3.3,3.78,2.62,4.22,3.53
2016,methamphetamine,DE,Munich G,13.2,13.1,50.07,39.92,14.48,25.98,16.87,14.39,32.61,24.8
2016,methamphetamine,ES,Barcelona,25.23,21.29,23.73,27.17,24.32,24.36,22.27,22.93,24.89,24.05
2016,methamphetamine,ES,Castellon,0,0,0,0,0,0,0,0,0,0
2016,methamphetamine,ES,Molina de Segura,0,0,0,0,0,0,0,0,0,0
2016,methamphetamine,ES,Santiago,0,0,0,0,0,0,0,0,0,0
2016,methamphetamine,ES,Valencia (3),0.66,0.93,01.04,0.88,1,0.94,0.95,0.85,0.97,0.91
2016,methamphetamine,FI,Espoo,99.05,93.78,93.53,103.89,92.84,76.9,66.69,86.5,91.79,89.53
2016,methamphetamine,FI,Helsinki,77.95,82.1,88.65,89.75,87.07,91.22,67.04,75.7,89.17,83.4
2016,methamphetamine,FI,Joensuu,2.22,3.4,02.05,1.79,1.93,2.22,1.3,2.31,2,2.13
2016,methamphetamine,FI,Jyväskylä,63.76,52.75,58.54,69.95,61.5,67.03,72.26,62.92,64.25,63.68
2016,methamphetamine,FI,Kotka,4.68,6.62,9.87,13.7,26.45,14.78,6.26,5.85,16.2,11.76
2016,methamphetamine,FI,Kuopio,37.1,29.71,43.04,40.35,35.07,24.99,19.12,28.65,35.86,32.77
2016,methamphetamine,FI,Lahti,6.28,5.15,2.32,1.84,4.59,2.13,3.98,5.14,2.72,3.76
2016,methamphetamine,FI,Lappeenranta,6.56,4.82,2.87,2.68,01.04,0.72,0.85,04.08,1.83,2.79
2016,methamphetamine,FI,Oulu,8.3,7.88,14.07,7.15,13.94,16.35,16.62,10.93,12.88,12.04
2016,methamphetamine,FI,Rovaniemi,12.71,15.76,7.97,9.78,6.74,9.58,5.29,11.25,8.52,9.69
2016,methamphetamine,FI,Savonlinna,5.1,05.06,06.06,20.6,46.22,36.04,38.54,16.23,27.23,22.52
2016,methamphetamine,FI,Tampere,4.85,05.08,3.35,5,4.34,3.51,2.38,4.11,04.05,04.07
2016,methamphetamine,FI,Turku,38.17,30.64,29.62,28.88,25.39,20.72,15.48,28.1,26.15,26.98
2016,methamphetamine,FI,Vaasa,1.1,1.19,0.9,2.4,2.79,3.71,3.18,1.82,2.45,2.18
2016,methamphetamine,FR,Bordeaux I,0,0,0,0,0,0,0,0,0,0
2016,methamphetamine,FR,Paris Seine Centre,0,0,0,0,0,0,0,0,0,0
2016,methamphetamine,GB,Bristol,0,0,0,0,0,0,0,0,0,0
2016,methamphetamine,GR,Athens,1.91,3.11,2.76,2.82,3.87,2.9,3.43,2.82,03.09,2.97
2016,methamphetamine,HR,Zagreb,0,0,0,0,0,0,0,0,0,0
2016,methamphetamine,IS,Reykjavik Klettagarðar,7.49,06.08,11.27,08.08,11.03,12.86,08.06,7.21,10.81,9.27
2016,methamphetamine,IT,Milan,14.32,13.49,12.54,14.21,14.29,14.56,13,13.6,13.9,13.77
2016,methamphetamine,NL,Eindhoven,0.14,2.85,0.14,0.13,0.12,12.64,0.14,01.04,3.26,2.31
2016,methamphetamine,NL,Utrecht,0,0,0,0,0,0,0,0,0,0
2016,methamphetamine,PT,Almada,0.53,1.22,0.7,0.67,0.67,0.74,0.87,0.87,0.69,0.77
2016,methamphetamine,PT,Lisbon,0,0,0,0,0,0,0,0,0,0
2016,methamphetamine,PT,Porto,0.27,0.3,0.44,0.37,0.81,0.36,1,0.52,0.5,0.51
2016,methamphetamine,SE,Stockholm (2),21.22,23.29,19.52,23.09,28.01,28.4,27.79,24.1,24.75,24.47
2016,methamphetamine,SK,Piestany,263.03,266.96,186.87,466.94,396.25,303.42,288.02,272.67,338.37,310.21
2016,MDMA,AT,Innsbruck,10.5,9.38,11.93,45.43,40.44,18.8,15.61,11.83,29.15,21.73
2016,MDMA,BE,Antwerp Deurne,62.56,44.34,40.1,41.04,48.29,45.63,20.94,42.61,43.77,43.27
2016,MDMA,BE,Antwerp Zuid,70.1,57.59,62.96,90.61,182.15,136.44,88.16,71.95,118.04,98.29
2016,MDMA,BE,Brussels,8.84,10.37,14.14,80.46,74.15,37.65,15.29,11.5,51.6,34.41
2016,MDMA,BE,Koksijde,04.09,1.83,3.97,05.05,15.9,5.43,3.96,3.29,7.59,5.75
2016,MDMA,BE,Oostende,14.05,11.62,10.63,13.3,21.51,12.83,9.91,11.86,14.57,13.41
2016,MDMA,CH,Basel,11.99,11.36,11.31,28.91,51.34,38,20.48,14.61,32.39,24.77
2016,MDMA,CH,Berne,8.52,7.36,10.53,25.38,41.94,26.92,16.2,10.69,26.19,19.55
2016,MDMA,CH,Geneva,11.84,11.47,20.16,66.43,64.71,,19.19,14.17,50.43,32.3
2016,MDMA,CH,Lugano,3.83,0.74,0.69,1.77,5.48,3.38,1.75,2.11,2.83,2.52
2016,MDMA,CH,Zurich,18.17,16.45,21.73,66.34,177.25,82.26,33.02,22.55,86.9,59.32
2016,MDMA,CY,Limassol,6.11,03.09,2.71,2.31,2.97,3.13,3.65,4.29,2.78,3.43
2016,MDMA,CZ,České Budějovice,8.59,8.72,6.15,10.85,45.57,35.22,14.47,10.59,24.45,18.51
2016,MDMA,DE,Dortmund,20.88,19.6,16.54,34.22,42.63,19.06,13.27,17.92,28.11,23.74
2016,MDMA,DE,Dresden,7.68,5.83,07.08,19.03,21.44,13.84,14.13,9.21,15.35,12.72
2016,MDMA,DE,Dülmen,7.5,09.09,12.85,24.93,19.22,13.45,11.35,9.31,17.61,14.06
