stadt,datum,title,abstract,link
Dortmund,23.11.2025 – 10:33,POL-DO: Explosiver Snack - Jugendliche nach Sprengung eines Snackautomaten festgenommen,Dortmund (ots) - Lfd. Nr.: 1027 In der Nacht zu Sonntag (23. November) sprengten mehrere Jugendliche in Dortmund-Dorstfeld einen Snackautomaten in die Luft. Die Polizei nahm wenig später vier Tatverdächtige fest. Gegen 23:20 Uhr nahmen mehrere Zeugen eine Explosion im Bereich des Vogelpothsweg sowie einen anschließenden Brand des dortigen Automaten wahr und ...,https://www.presseportal.de/blaulicht/pm/4971/6164322
Dortmund,22.11.2025 – 15:58,BPOL NRW: Von ursprünglich 11 Jahren sind noch 4 Jahre und ca. 9 Monate übrig - Bundespolizei mit Fahndungserfolg,"Dortmund (ots) - Am 21. November versuchte ein albanischer Staatsangehöriger am Dortmunder Flughafen Richtung Tirana (Albanien) auszureisen. Nach der Überprüfung seiner Personalien wurde festgestellt, dass der Flug ohne ihn startet. Gegen 8 Uhr erschien der 37-Jährige zur Ausreisekontrolle am Flughafen Dortmund ...",https://www.presseportal.de/blaulicht/pm/70116/6164143
Dortmund,22.11.2025 – 11:06,"FW Hagen: Gefahrguteinsatz, Unterstützung für Polizei."," Am Freitagnachmittag wurde die Feuerwehr Hagen zu einem Gefahrstoffaustritt in die Selbecke alarmiert. Auf einem Firmengelände wurde im Zuge einer Polizeimaßnahme festgestellt, dass unbekannte Chemikalien austraten. Aufgrund der Lage wurden zahlreiche Kräfte von Berufs- und Freiwilliger Feuerwehr, mit Spezialausrüstung alarmiert. Eine Erkundung ergab, dass unbekannte Chemikalien aus mehreren beschädigten Behältnissen austraten. Der Bereich wurde abgesperrt und ein Dekontaminationsbereich aufgebaut. Da wir es mit unbekannten Chemikalien zu tun hatten, mussten die Einsatzkräfte mit Chemikalienschutzanzügen vorgehen und anschließend dekontaminiert werden. Um die Stoffe identifizieren zu können, wurden die Analytische Task Force (ATF) der Feuerwehr Dortmund angefordert, die dann vor Ort entnommene Proben analysiert hat. Im Verlauf des Einsatzes wurde das THW Hagen hinzugezogen, um die Einsatzstelle auszuleuchten. Der komplexe Einsatz zog sich über mehrere Stunden hin und endete erst am frühen Morgen.Eingesetzt waren Kräfte beider Wachen der Berufsfeuerwehr, mehrere Einheiten der Freiwilligen Feuerwehr, die ATF der Berufsfeuerwehr Dortmund und das THW Hagen. Hagen (ots) - Zurzeit ist die Feuerwehr Hagen in der Tiegelstr. Im Brandeinsatz. Gegen 09:35 meldeten mehrere Anrufer dort eine starke Rauchentwicklung auf einem Industriegelände. Die Leitstelle entsendete umgehend drei Löschzüge zur Einsatzstelle, die Feuerwachen sind durch Kräfte der Freiwilligen Feuerwehr besetzt. Es brennt in einer Filteranlage, ... Hagen (ots) - Die Feuerwehr Hagen wurde am heutigen Sonntagnachmittag zu einem Einsatz in das Hagener Westfalenbad alarmiert, Mitarbeiter meldeten über den Notruf eine laufende Reanimation an einem Kind. Durch die Leitstelle wurden umgehend Rettungswagen, Notarzt und Kräfte der Berufsfeuerwehr entsandt. Auch ein Kindernotarztteam aus Dortmund wurde zur Einsatzstelle angefordert und unterstützte unsere Kräfte vor Ort. ... Social Media:",https://www.presseportal.de/blaulicht/pm/129251/6164081
Dortmund,21.11.2025 – 17:42,POL-DO: 90-jähriger Pedelecfahrer stürzt und verstirbt wenig später im Krankenhaus,"Dortmund (ots) - Lfd. Nr.: 1026 Donnerstagvormittag (20. November 2025) stürzte ein 90-jähriger Dortmunder mit seinem Pedelec auf der Dönnstraße. Dabei verletzte er sich schwer. Er wurde in ein Krankenhaus in Castrop-Rauxel eingeliefert, wo er wenig später seinen schweren Verletzungen erlag. Ersten Erkenntnissen zufolge befuhr der Dortmunder den ausgewiesenen ...",https://www.presseportal.de/blaulicht/pm/4971/6163949
Dortmund,21.11.2025 – 16:08,FW-Velbert: Brand im Herrenhaus des Schloss Hardenberg," Die Feuerwehr Velbert wurde am Freitag, 21. November 2025, am frühen Morgen zu einer Rauchentwicklung im Herrenhaus am Schloss Hardenberg in Velbert-Neviges alarmiert. Zuvor hatte eine Streifenwagenbesatzung der Polizei dort, auf dem Rückweg von einem Einsatz, Feuerschein gesehen. Beim Eintreffen der ersten Kräfte war eine massive Rauchentwicklung im Bereich des Dachgeschosses sichtbar. Über die Warn-App NINA wurde gegen 6 Uhr die Warnung Geruchsbelästigungen im Einzugsgebiet Velbert, Heiligenhaus und Wüfrath gesendet. Direkt wurden Löschmaßnahmen über eine Drehleiter sowie ein Innenangriff über den vorderen Bereich des Gebäudes eingeleitet.Aufgrund einer schnellen massiven Ausbreitung des Feuers mussten der Innenangriff kurze Zeit später abgebrochen werden. Kurze Zeit später stand der Dachstuhl komplett im Vollbrand.Die Einsatzleitung alarmierte Kräfte aus allen drei Stadtteilen und bildete insgesamt vier Abschnitte. Aufgrund des hohen Personalbedarfs an der Einsatzstelle stellten Kräfte von umliegenden Städten den Grundschutz für das Velberter Stadtgebiet sicher. Insgesamt waren rund 80 Einsatzkräfte vor Ort.Die Drohenstaffel der Feuerwehr Velbert unterstützte die Effizienz der Löschmaßnahmen durch Wärmebildaufnahmen aus der Luft. Die Unterstützungseinheit stellte die Versorgung der Einsatzkräfte sicher. Das Hygienekonzept Velbert wurde eingerichtet. Die Informations- und Kommunikationseinheit der Feuerwehr Velbert unterstütze in der Einsatzstellenkommunikation. Des Weiteren waren folgende Feuerwehren und Spezialkräfte im Einsatz:THW Remscheid, Wetter, Erkrath und Velbert, die TBV, die Polizei, das Umweltamt, der Ruhrverband, die Feuerwehr Mülheim an der Ruhr, die Feuerwehr Hilden, die Feuerwehr Mettmann, die Feuerwehr Ratingen, die Feuerwehr Dortmund sowie der Chempark Dormagen. An der Einsatzstelle waren die Landrätin Dr. Bettina Warnecke, der Kreisbrandmeister Torsten Schams, der Bürgermeister Dirk Lukrafka, die zuständigen Dezernenten Jörg Ostermann und Christian Draeger sowie der Leiter der Feuerwehr Velbert Manuel Schoch.Aufgrund von tiefliegenden Brandnestern musste im Verlauf durch Spezialfahrzeuge der Dachstuhl des Gebäudes abgetragen werden.Aktuell Läuft der Einsatz noch. Für die Bevölkerung bestand zu keinem Zeitpunkt Gefahr, Personen wurden nicht verletzt. Zur Brandursache und Höhe des Sachschadens kann derzeit keine Angaben gemacht werden. Social Media:",https://www.presseportal.de/blaulicht/pm/118285/6163920
Dortmund,21.11.2025 – 13:24,POL-MI: Nach umfangreichen Durchsuchungsmaßnahmen in Halle (Westf.) und Stemwede: Veterinärämter stellen 75 Welpen und erwachsene Hunde im Zusammenhang mit einem mutmaßlich illegalen Welpenhandel sicher,"Stemwede (ots) - Dortmund, Halle (Westf.), Stemwede - Gemeinsame Pressemitteilung der Zentralstelle für die Verfolgung der Umweltkriminalität in NRW (Staatsanwaltschaft Dortmund), der Kreispolizeibehörden Minden-Lübbecke und Gütersloh sowie der Kreise Minden-Lübbecke und Gütersloh Insgesamt 75 Hunde haben die ...",https://www.presseportal.de/blaulicht/pm/43553/6163721
Dortmund,21.11.2025 – 13:14,POL-GT: Nach umfangreichen Durchsuchungsmaßnahmen in Halle (Westf.) und Stemwede: Veterinärämter stellen 75 Welpen und erwachsene Hunde im Zusammenhang mit einem mutmaßlich illegalen Welpenhandel sicher,"Gütersloh (ots) - Dortmund, Halle (Westf.), Stemwede - Gemeinsame Pressemitteilung der Zentralstelle für die Verfolgung der Umweltkrimi-nalität in NRW (Staatsanwaltschaft Dortmund), der Kreispolizeibehörden Minden-Lübbecke und Gütersloh sowie der Kreise Minden-Lübbecke und Gütersloh Insgesamt 75 Hunde haben ...",https://www.presseportal.de/blaulicht/pm/23127/6163698
Dortmund,21.11.2025 – 10:09,POL-DO: Allgemeine Verkehrskontrolle endet in Verfolgungsfahrt,"Dortmund (ots) - Lfd. Nr.: 1025 Donnerstagabend (20. November 2025) entschlossen sich Polizisten zu einer allgemeinen Verkehrskontrolle in Dortmund-Scharnhorst. Statt den Anhaltezeichen Folge zu leisten, fuhr der Fahrer davon. Um 23 Uhr kam den Einsatzkräften der Leihwagen auf der Kurler Straße in Fahrtrichtung Lanstrop entgegen. Sie entschlossen sich zu einer ...",https://www.presseportal.de/blaulicht/pm/4971/6163380
Dortmund,21.11.2025 – 09:00,POL-BI: Bilanz der Großkontrolle am 19.11.2025 an der Autobahn 2," SI / Bielefeld / BAB 2 - Am 19.11.2025, kontrollierten Polizeibeamte gemeinsam mit den Kooperationspartnern rund 240 Fahrzeuge des gewerblichen Güter- und Personenverkehrs an den Autobahnraststätten Lipperland Süd und Lipperland Nord. Über 200 Verstöße stellten die Kontrolleure fest, über 120 an den Fahrzeugen oder ihrer Ladung, in über 80 Fällen standen die Fahrer im Fokus. Neben den Autobahnpolizisten waren an dieser Kontrolle unter anderem Mitarbeiter der Zollämter Bielefeld und Herford, dem BALM (Bundesamt für Logistik und Mobilität), der Bezirksregierung Detmold, der Stadt Bielefeld und dem Kreis Gütersloh beteiligt. Auch Beamte der umliegenden Kreispolizeibehörden sowie der Polizei Köln und Dortmund unterstützen die Bielefelder Polizisten. Neben den Kontrolleuren unterstützen auch die Feuerwehr und das THW den Einsatz. ""Die Vielzahl an Verstößen zeigt, dass diese Kontrollen wichtig sind"", stellt Polizeidirektor Hendrik Bösch als Einsatzleiter fest. ""Dank der Anwesenheit und guten Zusammenarbeit mit unseren Kooperationspartnern konnten wir Verstöße schnell aufdecken und zum Teil noch vor Ort ahnden. Außerdem ist die Vernetzung zwischen den Behörden von großem Wert."" Bei 56 Lkw war die Ladung nicht richtig gesichert, 12 Fahrzeuge waren überladen. Acht der überladenen Lkw mussten stehen bleiben. Außerdem stellten die Autobahnpolizisten an zwölf Fahrzeugen technische Mängel fest. An drei Fahrzeugen waren die Mängel so gravierend, dass ihren Fahrern die Weiterfahrt untersagt wurde. Ein Fahrzeug legten die Polizeibeamten unmittelbar still. Spezialisten für Gefahrgut des Verkehrsdienstes der Autobahnpolizei deckten 42 Verstöße bei Gefahrguttransporten auf. Sie kontrollierten zum Beispiel einen Sattelzug mit Schwefelsäure. Für den Transport für Gefahrgut ist eine spezielle persönliche Ausrüstung für den Fahrer vorgesehen. Die Ausrüstung des 35-jährigen Fahrers aus der Türkei war jedoch unvollständig. Für den Fahrer wurde eine Sicherheitsleistung von 300 EUR, für das Unternehmen von 500 EUR fällig. Bei 53 Fahrern stellten die Kontrolleure einen Verstoß gegen die Lenk- und Ruhezeiten fest. Fünf Fahrer wurde mit dem Handy am Steuer erwischt und weitere elf hielten sich nicht an den vorgeschriebenen Abstand oder waren nicht angeschnallt. Ein Fahrer war ohne eine gültige Fahrerlaubnis unterwegs. Bei einem weiteren Fahrer verlief der Drogenvortest positiv. Er musste bei einer Polizeiärztin, die ebenfalls vor Ort war, eine Blutprobe abgeben. Der Zoll stellte 13 Verstöße gegen arbeitsrechtliche Bestimmungen fest und fertigte zehn Strafanzeigen wegen des Verdachts des illegalen Aufenthalts an. Die Spezialisten der Bezirksregierung Detmold bemängelten bei zwei Fahrzeugen den nicht ordnungsgemäßen Transport von Abfällen. Lebensmittelkontrolleure des Kreises Lippe und der Stadt Bielefeld beanstandeten die Ladung in drei Lkw. Zweimal war die Kühlung unzureichend. In einem weiteren Fall ordneten die Kontrolleure die sofortige Vernichtung an. In einem Lkw aus Kürten waren 74 kg Frischfisch geladen, dessen Transport hygienisch mangelhaft war. (Siehe Foto) Spezialisten für Veterinärangelegenheiten der Stadt Bielefeld kamen hinzu, als Autobahnpolizisten einen Schweinetransporter aus dem Verkehr zogen, der offensichtlich überladen war. Tatsächlich waren 48 t statt der erlaubten 40 t geladen. Vor Ort entschieden die Kontrolleuro im Sinne des Tierwohls auf eine weitere Verladung zu verzichten und den Transport über wenige Kilometer zu seinem Zielort zu erlauben. Ein Bußgeld erwartet das Unternehmen dennoch. Außerdem wurden drei Mautverstöße aufgedeckt. Möglich war diese groß angelegte Kontrolle vor allem durch das gute Zusammenspiel der beteiligten Behörden. Für alle Beteiligten war dies eine gute Gelegenheit für den gegenseitigen Wissensaustausch. Dieses gesammelte Wissen wird auch bei zukünftigen Kontrollen zum Einsatz kommen. Hendrik Bösch, der die Autobahnpolizei Bielefeld leitet, hat bereits weitere gemeinsame Kontrollaktionen in Aussicht gestellt. ""Um auch in Zukunft den Kontrolldruck hoch zu halten, werden wir nicht nur dauerhaft präsent sein, sondern auch Großkontrollen durchführen."" Bielefeld (ots) - HC/ Bielefeld- Mitte- Am Dienstagmorgen, 18.11.2025, soll es an der Herforder Straße zu einem Dooring-Unfall gekommen sein. Die Polizei sucht die PKW-Insassen und Zeugen. Ein 33-jähriger Bielefelder erstattete am 19.11.2025 bei der Polizei eine Strafanzeige. Er gab an, am Vortag gegen 07:20 Uhr mit seinem Fahrrad auf dem Gehweg der Herforder Straße in Richtung stadtauswärts gefahren zu sein. Im ... Bielefeld (ots) - HC/ Bielefeld- Schildesche- Mittwochmorgen, 19.11.2025, missachtete der Fahrer eines nicht zugelassenen PKW bei der Probefahrt die Vorfahrt einer Skoda-Fahrerin. Eine 39-Jährige aus Enger befuhr mit ihrem Skoda Roomster, gegen 08:30 Uhr, den Horstheider Weg von Theesen kommend in Richtung Sudbrackstraße. Im Bereich der zweiten Ausfahrt des Mergenthalerwegs kam es zum Zusammenstoß mit dem Renault Clio ... Bielefeld (ots) - HC/ Bielefeld- Stadtgebiet- Am Mittwochmittag, 19.11.2025, fiel eine Bielefelderin auf einen Telefon-Betrüger rein. Gegen 12:00 Uhr erhielt eine 42-jährige Bielefelderin einen Anruf von einer Handynummer. Der Anrufer teilte ihr mit, Mitarbeiter eines Mobilfunkanbieters - der auch ihr Anbieter ist- zu sein und forderte sie auf, ihm die Sicherheitscodes mitzuteilen, die sie gleich zugeschickt bekomme. ... Social Media:",https://www.presseportal.de/blaulicht/pm/12522/6163242
Dortmund,21.11.2025 – 14:13,Highlights der UEFA Champions League bis 2031 im ZDF," Die Highlights der UEFA Champions League sind auch ab der Saison 2027/2028 weiter im ZDF zu sehen. Für den Rechtezeitraum bis 2030/31 bekam das ZDF dafür erneut den Zuschlag: Mittwochs um 23.00 Uhr bietet ""sportstudio UEFA Champions League"" im ZDF auch künftig ausführliche Zusammenfassungen der Spiele in der Fußball-Königsklasse. ZDF-Chefredakteurin Bettina Schausten: ""Alle Spiele, alle Tore der UEFA Champions League bleibt das Motto im ZDF. Wer den europäischen Spitzenfußball verfolgen will, ist beim ZDF weiterhin an der richtigen Adresse – kompakt im TV und im Netz."" Bei ""sportstudio UEFA Champions League"" im ZDF, auf ZDFheute.de, in der ZDFheute-App und auf sportstudio.de gibt es mittwochs ab 23.00 Uhr Zusammenfassungen der Champions-League-Partien sowie Kompakt-Clips mit allen Toren und Highlights. Die wichtigsten Spiele aus der jeweiligen Champions League-Saison im Video und ausführliche Zusammenfassungen bietet das ZDF vom ersten Spieltag bis zum Finale. ""sportstudio UEFA Champions League"" am Mittwoch im ZDF Die nächste ""sportstudio UEFA Champions League""-Sendung steht am Mittwoch, 26. November 2025, 23.00 Uhr, auf dem ZDF-Programm. Dann rückt der fünfte Spieltag in der Ligaphase der aktuellen Saison in den Blick, unter anderem mit Zusammenfassungen der Partien FC Arsenal – FC Bayern München, Eintracht Frankfurt – Atalanta Bergamo, Manchester City – Bayer Leverkusen und Borussia Dortmund – FC Villarreal. Moderator Sven Voss führt durch die Sendung, als Experte ist Hanno Balitsch zu Gast im Studio. Kontakt Bei Fragen zu ""sportstudio UEFA Champions League"" im ZDF erreichen Sie Thomas Hagedorn telefonisch unter 06131 – 70-13802 oder per E-Mail unter  hagedorn.t@zdf.de. Sie erreichen die ZDF-Kommunikation per E-Mail unter  pressedesk@zdf.de oder telefonisch unter 06131 – 70-12108. Pressefotos Pressefotos erhalten Sie als  Download (nach Log-in), per E-Mail unter  pressefoto@zdf.de oder telefonisch unter 06131 – 70-16100. Weitere Informationen -  Pressemappe zu den ""sportstudio""-Sendungen -  ""sportstudio UEFA Champions League"" im ZDF streamen -  ""sportstudio live"" im ZDF streamen Social Media:",https://www.presseportal.de/pm/7840/6163819
