,Year,Country,City,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
0,2024,DE,Dresden,116.28,96.1,103.04,108.96,120.14,89.55,79.34,97.24,105.42,101.92
1,2023,DE,Dresden,66.39,65.2,79.93,118.7,109.08,80.58,77.41,69.67,97.07,85.33
2,2022,DE,Dresden,"45868,00",40.94,48.12,65.76,73.68,43.64,38.92,36.64,57.8,48.73
3,2021,DE,Dresden,44.33,33.6,53.36,111.06,28.46,49.51,34.19,41.37,63.01,50.65
4,2020,DE,Dresden,36.01,29.29,54.13,48.68,57.01,34.61,35.28,33.53,48.61,42.14
5,2019,DE,Dresden,20.92,20.85,22.78,43.68,43.61,"45803,00","45857,00",20.28,34.03,28.14
6,2018,DE,Dresden,"45714,00",26.78,29.38,58.06,48.74,19.59,24.29,25.76,38.94,33.29
7,2017,DE,Dresden,16.94,16.82,19.61,23.21,32.07,19.98,17.41,"45794,00",23.72,20.86
8,2016,DE,Dresden,14.26,14.57,"45886,00",23.95,21.44,15.91,16.68,15.17,"45827,00","45855,00"
9,2015,DE,Dresden,"45663,00","45078,00","32295,00","31990,00","22981,00","45664,00","46935,00","18780,00","30895,00","30864,00"
10,2014,DE,Dresden,"29768,00","29007,00","48761,00","51745,00","21429,00","36039,00","45876,00","53874,00","45878,00","50983,00"
