Year,Aalborg,Aarhus,Adana,Agia Napa,Almada,Amsterdam,Ankara,Antwerp Deurne,Antwerp Zuid,Athens,Auckland,Australia (55 sites),Australia (59 sites),Barcelona,Basel,Belgrade,Belo Horizonte (2),Bergen (2),Berlin (4),Berne,Boevange,Bologna,Boom,Bordeaux I,Bozen,Brasilia (I-VII),Bratislava C,Bristol,Brno,Brugge,Brussels,Bucharest,Castellon,Chemnitz,Christchurch,Cluj Napoca,Concepción,Copenhagen,Curitiba (2),Debrecen,Domžale-Kamnik,Dortmund,Dresden,Dublin,Dülmen,Eindhoven,Eleusis,Erfurt,Esbjerg,Espoo,Fort-de-France P,Fortaleza,Frankfurt (3),Geneva,Geraardsbergen,Goiânia,Gothenburg,Granada,Graz,Groningen,Gävle,Hall-Wattens,Hamburg N,Hannover (2),Helsinki,Huittinen,Hämeenlinna,Innsbruck,Istanbul (II-VII),Joensuu,Jyväskylä,Kajaani,Kapfenberg,Karlovy Vary,Karlstad,Kaunas,Kemi,Kitchener,Klagenfurt,Klaipeda,Klosterneuburg,Knittelfeld,Kohtla-Järve (2),Kokkola,Koksijde,Koper,Korneuburg,Kotka,Kouvola,Krakow P,Kranj,Kufstein,Kuopio,Lahti,Lappeenranta,Larnaca,Lausanne,Lebu,Leeuwarden,Limassol,Lisbon,Ljubljana,Lleida,London,Los Angeles,Lugano,Luxembourg,Madrid VdlV,Magdeburg,Mainz,Mamer,Maribor,Mariehamn,Merchtem,Mersch,Mikkeli,Milan,Molina de Segura,Montreal,Munich G,Mytilene,Mürzzuschlag,Natal,Nicosia (2),Nieuwegein Ijssel.,Ninove,Niterói (2),Novi Sad,Novo mesto,Nuremberg,Næstved,Odense,Oostende,Oslo (2),Ostrava,Oudewater,Oulu,Paphos,Paris Seine Centre,Paris South Suburbs,Piestany,Pietarsaari,Plzeň,Pori,Porto,Porto Alegre (2 - 2024),Porvoo,Prague (2),Purgstall,Queenstown,Rauma,Recife,Region Millstättersee,Reykjavik Klettagarðar,Ried im Innkreis,Riga,Rome,Rostock,Rotterdam (2),Rovaniemi,Ruisbroek (Puurs),Saarbrücken (2),Salo,Salzburg,Sandviken,Santiago,Sarajevo,Sarandi,Savonlinna,Seattle,Seinäjoki,Seoul,Serraria,Split,St. Gallen Hofen,Steyr,Stockholm (2),Strass im Zillertal,Stuttgart,São Carlos,São Luis,São Paulo (I-V),Söderhamn,Tallinn,Tampere,Tarragona,Tartu,Trollhättan,Trondheim (2),Turku,Umea,Uppsala,Utrecht,Vaasa,Valencia (3),Velenje,Vihti,Vilnius,Växjö,Wasserverband Hofsteig,Wellington (M1+M2),Wien,Wiener Neustadt,Wildon,Zagreb,Zurich,Zwolle,Ústí nad Labem,České Budějovice
2011,,,,,,77.24,,,52.14,,,,,18.73,,,,,,,,,,,,,,,,,7.45,,0.0,,,,,,,,,,,,,66.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.25,,,,,,,,,,,,,7.58,,,,,,,,,,,,,,,,,,,,,,14.94,,,,,,,,,,,,,,,,,,,,,,,,,,,5.99,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3.26,,,,3.48
2012,,,,,,99.84,,18.85,65.84,,,,,27.62,14.61,,,,,19.22,,,,,,,,,,,12.98,,0.0,,,,,,,,,,,,,,,,,,,,,10.15,,,0.0,,,,,,,,14.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.54,,,,,,,,,,,,,,,,,,5.05,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,161.86,,,,,,,,,,,,7.65,38.75,,,10.18
2013,,,,,,89.25,,30.26,72.59,2.46,,,,31.41,23.09,14.81,,,,27.69,,,,,,,,,,,15.27,,6.43,,,0.0,,19.47,,,,13.75,0.0,,4.25,,,,,,,,,18.78,4.84,,5.87,,,,,,,,27.61,,,,,,,,,,,,,,,,,,,,9.11,,,,,,,,,,,,,,,0.46,4.85,,,32.76,,,,,,,,,,,,,4.96,,,,,,,,,10.96,,7.09,,,,,,,,,,,26.06,,0.0,,,,,,,21.9,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,5.27,4.49,,83.11,,8.14,,,,,,,,,,9.45,42.87,,,7.24
2014,,,,,0.0,150.51,,20.06,58.82,4.4,,,,30.35,23.36,,,,28.58,18.83,,,,,,,,31.4,,,,,4.12,,,,,28.21,,,,11.25,4.75,,9.51,,,,,27.29,,,,21.27,12.27,,,,,,,,,,18.02,,,,,1.61,6.33,,,,,,,,,,,,,,,,,7.79,,,,,7.86,24.26,4.6,,20.46,,,,,,,67.89,,3.68,,,,,,,,,,,3.96,,,18.06,,,,,,15.82,,,,,,,,,,,40.66,,19.06,,,,,,,,,,,,,,,,,,,,,12.34,,,,,,11.19,,,1.16,,,,,,,,,,,,,,,,9.66,,,,,10.5,,,85.97,8.75,8.96,,,,,,,,,,11.68,55.42,,,
2015,,,,,6.03,166.16,,38.66,71.98,3.43,,,,33.82,9.55,,,,38.28,12.5,,,,,,,,53.11,,,21.95,,3.48,,,,,53.08,,,,16.58,5.09,,6.99,131.05,,,,44.65,,,,23.93,10.26,,,,,,,,,,38.42,,,,,,,,,,,,,,,,13.88,,,,7.79,,,,,,,,,,,,42.88,,,2.35,22.93,,,54.95,,7.74,,,,,,,,,,,6.7,4.22,,7.24,0.81,,,,,10.44,,,,,,,9.18,,,,,,20.6,,0.0,,,,10.27,,,,,,,,,,,,,,,,,,,,,14.42,,,,,,,,,,,,,,,,,,,28.16,,,,,18.72,,,62.01,,9.8,,,,,,,,,,27.28,40.62,,,9.12
2016,,,,,2.8,,,43.27,98.29,2.53,,,,46.79,24.77,,,,,19.55,,,,13.82,,,,51.22,,,34.41,,5.96,,,,,,,,,23.74,12.72,,14.06,125.74,,,,31.86,,,,32.3,,,,,,,,,,,34.16,,,21.73,,4.56,16.75,,,,,,,,,,,,,,5.75,,,12.76,,,,,13.42,17.97,14.54,,,,,3.43,26.91,,,,,2.52,,,,,,,,,,,4.45,0.0,,24.09,,,,,,,,,,,,,13.41,,,,10.31,,17.16,,10.16,,,,10.78,,,,,,,,,37.63,,,,,,14.27,,,,,,4.46,,,20.48,,,,,,,,37.75,,,,,,,,27.08,,,,,16.59,,,88.75,18.67,6.9,,,,,,,,,,49.22,59.32,,,18.51
2017,,,,,9.33,230.29,,,95.29,2.49,,,,48.06,31.31,,,,49.77,33.0,,,20.49,18.61,,,10.15,33.04,25.38,,25.15,,10.55,9.68,,,,,,,,18.56,9.57,,10.76,165.08,,7.61,,19.12,0.0,,22.57,47.18,,,,,,,,,17.2,21.98,26.85,,,20.91,,,,,,,,,,,,,,,,,10.68,,,,,7.41,,,,,,,,,,9.13,38.32,35.59,,,,,,13.18,23.49,25.98,,,,7.36,,,4.34,,,22.46,,,,,48.45,,,,,13.66,,,14.66,,,26.39,,,43.43,5.19,2.24,,,,10.81,,,,,,,,,36.52,,,,19.54,,,10.85,25.02,,,,11.53,,,,,,,,,27.84,,,,23.17,,,,,,44.51,,,,,14.73,,,59.82,,,,,15.96,,,,,,,32.62,81.2,,,13.91
2018,,,,,10.55,182.97,,,,4.7,,,,46.77,22.92,,,,59.54,28.05,,,,26.73,5.01,,13.72,,22.58,6.04,28.66,,2.85,12.73,,,,18.25,,,8.62,21.23,16.52,,13.66,,,19.06,,21.4,,,,40.98,,,,,,,,7.51,,,37.82,,11.73,26.69,,16.71,23.9,7.05,,,,14.9,8.23,,,24.97,,,,2.98,6.9,,,12.71,12.08,,,,10.1,20.01,14.49,,,,,9.44,49.35,34.95,,,,,,13.01,,,,6.31,18.9,,,19.67,5.84,,,21.07,,,,,,,,,,,,,11.59,,,,16.81,,34.3,0.0,2.46,,,14.92,21.07,,,,,,,,7.33,40.19,,,,,,31.76,,36.25,,,,14.32,,,5.42,,24.03,,,,41.54,,,,,,,,,,22.44,,,,,16.12,,,160.32,11.65,11.15,,,22.94,,8.9,,,,,29.83,73.4,,,14.99
2019,,,14.51,,12.75,287.44,,,119.24,6.36,,,,54.76,21.94,,,,,18.65,,,32.92,36.89,4.84,,,,,,28.65,,12.36,5.96,,,,36.91,,,6.6,15.34,8.0,,9.31,119.67,0.83,10.61,,23.89,,,,27.68,,,,,17.39,,16.49,8.18,,,44.06,,,23.51,33.09,,,,24.23,,,31.79,,,,43.15,,,,,16.24,11.76,,,,26.79,,,,,,,,,,13.65,40.53,26.33,,50.38,,,,9.07,,,,20.07,,,,,6.45,,,17.09,,7.7,,,,,,,8.77,,,,25.96,,25.14,,,,27.14,,,,,,21.38,,,93.78,4.41,,,,5.63,37.07,,25.71,,,,,,16.46,,,,15.04,,,,,,,,,28.61,,27.49,,,,,,,,23.25,,,,,29.26,,17.24,129.13,,25.55,10.15,,39.67,,11.91,,,,,36.5,53.66,,,
2020,,,30.93,,17.24,137.89,,,79.38,,,,,,,,,,,18.33,,,24.05,,2.03,,,,,,22.28,,3.34,11.66,,,,,,,7.24,20.61,16.94,,7.94,101.21,,13.06,,27.83,,,,26.99,,,,,14.14,,32.07,8.12,19.73,,40.13,,9.9,22.47,26.33,11.6,10.64,5.91,18.57,10.49,,20.7,10.34,,,14.42,,,,20.42,,3.79,,19.22,25.52,30.72,,34.88,17.47,38.8,15.07,,,,,2.56,44.68,102.52,,,,,,,19.06,,,8.73,0.83,,,36.11,2.47,,,14.38,,,,,,,,19.61,2.72,5.64,,,,,16.77,,19.57,,32.29,,,2.94,,17.44,21.33,,,36.18,4.64,,8.16,,7.0,44.14,,42.98,,,,21.99,,20.64,12.4,,18.37,29.64,,,7.86,,17.35,,,,14.45,,39.95,10.15,,,,,14.73,,31.54,,,,,36.31,,20.36,130.5,24.56,,6.14,23.27,31.83,,6.52,,,,,41.38,28.17,,,
