Year,Aalborg,Aarhus,Adana,Agia Napa,Almada,Amsterdam,Ankara,Antwerp Deurne,Antwerp Zuid,Athens,Australia (55 sites),Barcelona,Basel,Belgrade,Belo Horizonte (2),Bergen (2),Berlin (4),Berne,Boevange,Bologna,Boom,Bordeaux I,Bozen,Brasilia (I-VII),Bratislava C,Bristol,Brno,Brugge,Brussels,Bucharest,Budapest,Castellon,Chemnitz,Cluj Napoca,Copenhagen,Curitiba (2),Debrecen,Domžale-Kamnik,Dortmund,Dresden,Dublin,Dülmen,Eindhoven,Erfurt,Esbjerg,Espoo,Fort-de-France P,Fortaleza,Frankfurt (3),Geneva,Geraardsbergen,Goiânia,Gothenburg,Granada,Graz,Groningen,Gävle,Hall-Wattens,Hamburg N,Hannover (2),Helsinki,Huittinen,Hämeenlinna,Innsbruck,Istanbul (II-VII),Istanbul I,Joensuu,João Pessoa,Jyväskylä,Kajaani,Kapfenberg,Karlovy Vary,Karlstad,Kaunas,Kemi,Kitchener,Klagenfurt,Klaipeda,Klosterneuburg,Knittelfeld,Kohtla-Järve (2),Kokkola,Koksijde,Koper,Korneuburg,Kotka,Kouvola,Krakow P,Kranj,Kufstein,Kuopio,Lahti,Lappeenranta,Larnaca,Lausanne,Leeuwarden,Limassol,Lisbon,Ljubljana,Lleida,London,Lugano,Luxembourg,Madrid VdlV,Magdeburg,Mainz,Malta,Mamer,Maribor,Mariehamn,Merchtem,Mersch,Mikkeli,Milan,Molina de Segura,Montreal,Munich G,Mytilene,Mürzzuschlag,Natal,Nicosia (2),Nieuwegein Ijssel.,Ninove,Niterói (2),Novi Sad,Novo mesto,Nuremberg,Næstved,Odense,Oostende,Oslo (2),Ostrava,Oudewater,Oulu,Paphos,Paris Seine Centre,Paris South Suburbs,Piestany,Pietarsaari,Plzeň,Pori,Porto,Porto Alegre (2 - 2024),Porvoo,Prague (2),Purgstall,Rauma,Recife,Region Millstättersee,Reykjavik Klettagarðar,Ried im Innkreis,Riga,Rome,Rostock,Rotterdam (2),Rovaniemi,Ruisbroek (Puurs),Saarbrücken (2),Salo,Salzburg,Sandviken,Santiago,Sarajevo,Sarandi,Savonlinna,Seattle,Seinäjoki,Seoul,Serraria,Split,St. Gallen Hofen,Steyr,Stockholm (2),Strass im Zillertal,Stuttgart,São Carlos,São Luis,São Paulo (I-V),Söderhamn,Tallinn,Tampere,Tarragona,Tartu,Trollhättan,Trondheim (2),Turku,Umea,Uppsala,Utrecht,Vaasa,Valencia (3),Velenje,Vihti,Vilnius,Växjö,Wasserverband Hofsteig,Wien,Wiener Neustadt,Wildon,Zagreb,Zurich,Zwolle,Ústí nad Labem,České Budějovice
2011,,,,,,123.57,,,277.18,,,15.41,,,,,,,,,,,,,,,,,35.39,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.6,,,,,,,,,,,,,11.05,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,33.84,,,,,,,,,,,,,,,,,,,,,,,,,13.82,,83.46,,,,,,,,,,,14.6,,,,28.51
2012,,,,,,27.59,,101.99,159.47,,,13.37,0.0,,,,,33.05,,,,,,,,,,,38.85,,,0.0,,,,,,,,,,,416.75,,,,,,,38.96,,,87.14,,,,,,,,43.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,32.41,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,43.61,0.0,,46.67,,,,,,,,,,,12.13,0.0,,,20.13
2013,,,,,,70.81,,117.95,185.11,16.05,,21.11,33.89,16.7,,,,19.06,,,,,,,,,,,24.8,,,8.6,,0.0,30.64,,,,92.22,0.0,,62.85,,,,,,,,0.0,0.82,,215.33,,,,,,,,94.51,,,,,,,,,,,,,,,,,,,,,,26.48,,,,,,,,,,,,,,1.69,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,111.94,,25.67,,,,,,,,,,,0.0,,13.99,,,,,,,36.24,,,,,,,,,,,,,,,,,0.0,52.42,,,,,,,,,,,,,,,,,,,,,,,63.99,29.99,,46.52,,7.96,,,,,,,,,10.0,42.65,,,20.61
2014,,,,,1.06,89.94,,120.16,212.95,16.84,,29.79,16.56,,,,114.85,18.12,,,,,,,,82.99,,,,,,0.0,,,,,,,138.29,22.01,,67.63,203.73,,,48.63,,,,0.0,215.69,,,,,,,,,,68.53,,,,,,21.02,,49.87,,,,,,,,,,,,,,,,,104.99,,,,,43.27,139.62,22.88,,7.26,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,22.19,,,,,,129.4,,,,,,,,,,,24.86,,0.0,,,,,,,,,,,,,,,,,,,,46.39,,,,,,0.0,,,19.63,,,,,,,,,,,,,,,,41.87,,,,,62.39,,,111.06,42.6,14.73,,,,,,,,,15.65,25.65,,,
2015,,,,,1.89,59.06,,143.94,250.36,10.43,,30.25,39.5,,,,122.12,26.15,,,,,,,,82.64,,,58.28,,,0.0,,,14.68,,,,163.4,17.36,,62.15,,,,85.12,,,,5.98,214.29,,,,,,,,,,117.1,,,,,,,,,,,,,,,,,,0.0,,,,40.46,,,,,,,,,,,,10.6,,6.07,3.23,,,0.0,0.0,,,,,3.72,,,,,,,2.72,0.0,,0.0,0.0,,,,,119.04,,,,,,,176.58,,,,,,0.0,,23.34,,,,0.0,,,,,,,,70.38,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,53.22,,,,,84.47,,,36.43,,13.15,,,,,,,,,76.73,23.92,,,18.51
2016,,,,,0.0,,,90.45,199.27,4.61,,45.64,27.4,,,,,24.17,,,,0.0,,,,105.61,,,36.83,,,0.0,,,,,,,150.39,22.63,,176.97,,,,71.85,,,,9.86,,,,,,,,,,,100.77,,,12.45,,,31.25,,28.26,,,,,,,,,,,,,,39.27,,,80.27,,,,,37.87,119.86,40.12,,,,8.07,3.33,,,,0.0,,,,,,,,,,,,0.0,0.0,,26.17,,,,,,,,,,,,,178.98,,,,32.58,,0.0,,30.89,,,,0.0,,,,,,,,113.14,,,,,,73.97,,,,,,0.0,,,13.76,,,,,,,,208.84,,,,,,,,78.19,,,,,72.03,,,97.94,29.7,7.48,,,,,,,,,72.23,35.08,,,21.54
2017,,,,,1.31,123.29,,,268.75,2.24,,42.32,31.54,,,,130.04,53.31,,,191.07,0.0,,,9.34,53.76,9.02,,49.17,,,0.0,0.0,,,,,,168.73,23.43,,135.4,271.73,0.0,,38.14,0.0,,84.67,14.64,,,,,,,,,62.92,83.02,47.81,,,14.82,,,,,,,,,,,,,,,,,,,43.37,,,,,23.41,,,,,,,,,9.7,3.04,35.24,,,,,0.0,97.91,226.88,,,,,26.81,,,0.0,,,25.53,,,,,81.09,,,,,41.65,,,236.37,,,238.38,,,0.0,0.0,2.11,,,,0.0,,,,,,,,169.91,,,,149.99,,,57.19,241.98,,,,6.42,,,,,,,,,43.92,,,,69.94,,,,,,42.87,,,,,64.77,,,74.89,,22.11,,,13.08,,,,,,56.32,46.71,,,8.33
2018,,,,,1.87,154.26,,,181.44,8.64,,35.2,37.03,,,,144.28,37.4,,,,0.0,2.2,,20.44,,15.7,55.03,34.96,,,0.0,19.45,,59.45,,,9.84,138.15,27.64,,113.59,,39.76,,89.89,,,,10.0,,,,,,,,5.76,,,149.39,,90.09,17.05,,4.29,50.77,,100.14,35.63,,,,14.41,99.46,,,20.73,,,,25.15,55.43,,,102.06,155.92,,,,84.32,160.58,69.7,,,,7.59,5.22,20.57,,,,,0.0,,,,,3.86,57.43,,,96.25,0.0,,,6.3,,,,,,,,,,,,,151.63,,,,69.35,,0.0,0.0,24.06,,,40.64,1.93,,,,,,,7.14,209.79,,,,,,138.61,,407.35,,,,0.0,,,20.02,,57.43,,,,47.57,,,,,,,,,,68.08,,,,,66.25,,,,64.76,14.48,,,16.12,,11.77,,,,76.08,51.76,,,20.13
2019,,,0.54,,1.44,164.43,,,302.02,,,32.27,35.16,,,,,54.7,,,211.63,0.0,1.83,,,,,,46.52,,,0.0,12.01,,74.27,,,3.92,188.83,35.44,,169.64,,45.73,,120.99,,,,8.34,,,,,26.67,,442.67,9.8,,,201.6,,,19.23,3.46,,,,,,30.69,,,43.07,,,,19.36,,,,,110.87,8.22,,,,65.9,,,,,,,,,4.84,3.21,20.31,,,,,0.0,,,,,17.69,,,,,3.56,,,26.18,,10.86,,,,,,,13.02,,,,291.64,,48.67,,,,0.0,,,,,,2.0,,,81.29,13.74,,,2.57,320.91,,57.91,,,,,,340.98,,,,10.04,,,,,,,,,61.84,,446.94,,,,,,,,125.68,,,,,137.17,,114.48,144.77,,11.03,83.94,,32.32,,18.08,,,,145.67,58.11,,,
2020,,,,,1.09,107.6,,,346.74,,,,,,,,,55.78,,,248.65,,1.99,,,,,,55.99,,,0.0,19.73,,,,,0.0,143.13,28.32,,142.01,271.53,44.31,,167.63,,,,0.0,,,,,29.27,,830.23,9.05,50.98,,261.38,,120.85,17.55,,,133.61,,96.09,51.8,26.45,31.78,,52.39,265.0,,,23.11,,,,30.65,,0.0,,193.19,238.7,71.39,,14.2,190.48,342.78,86.31,,,,3.41,4.59,14.06,,,,,,114.45,,,,4.44,18.4,,,126.83,0.0,,,14.14,,,,,,,,69.76,2.66,33.18,,,,,76.6,,106.73,,0.0,,,27.96,,78.45,0.0,,,39.08,23.77,61.17,,6.16,332.47,,53.45,,,,170.03,,288.32,165.05,,551.41,0.0,,,40.75,,53.87,,,,76.0,,329.97,12.74,,,,,374.03,,157.13,,,,,110.4,,173.33,175.65,178.68,,95.79,158.56,50.62,,24.26,,,,1013.84,42.09,,,
