Year,Aalborg,Aarhus,Adana,Agia Napa,Almada,Amsterdam,Ankara,Antwerp Deurne,Antwerp Zuid,Athens,Auckland,Australia (55 sites),Australia (59 sites),Barcelona,Basel,Belgrade,Belo Horizonte (2),Bergen (2),Berlin (4),Berne,Boevange,Bologna,Boom,Bordeaux I,Bozen,Brasilia (I-VII),Bratislava C,Bristol,Brno,Brugge,Brussels,Bucharest,Budapest,Castellon,Chemnitz,Christchurch,Cluj Napoca,Concepción,Copenhagen,Curitiba (2),Debrecen,Domžale-Kamnik,Dortmund,Dresden,Dublin,Dülmen,Eindhoven,Eleusis,Erfurt,Esbjerg,Espoo,Fort-de-France P,Fortaleza,Frankfurt (3),Geneva,Geraardsbergen,Goiânia,Gothenburg,Granada,Graz,Groningen,Gävle,Hall-Wattens,Hamburg N,Hannover (2),Helsinki,Huittinen,Hämeenlinna,Innsbruck,Istanbul (II-VII),Istanbul I,Joensuu,João Pessoa,Jyväskylä,Kajaani,Kapfenberg,Karlovy Vary,Karlstad,Kaunas,Kemi,Kitchener,Klagenfurt,Klaipeda,Klosterneuburg,Knittelfeld,Kohtla-Järve (2),Kokkola,Koksijde,Koper,Korneuburg,Kotka,Kouvola,Krakow P,Kranj,Kufstein,Kuopio,Lahti,Lappeenranta,Larnaca,Lausanne,Lebu,Leeuwarden,Limassol,Lisbon,Ljubljana,Lleida,London,Los Angeles,Lugano,Luxembourg,Madrid VdlV,Magdeburg,Mainz,Malta,Mamer,Maribor,Mariehamn,Merchtem,Mersch,Mikkeli,Milan,Molina de Segura,Montreal,Munich G,Mytilene,Mürzzuschlag,Narva,Natal,Nicosia (2),Nieuwegein Ijssel.,Ninove,Niterói (2),Novi Sad,Novo mesto,Nuremberg,Næstved,Odense,Oostende,Oslo (2),Ostrava,Oudewater,Oulu,Paphos,Paris Seine Centre,Paris South Suburbs,Piestany,Pietarsaari,Plzeň,Pori,Porto,Porto Alegre (2 - 2024),Porvoo,Prague (2),Purgstall,Queenstown,Rauma,Recife,Region Millstättersee,Reykjavik Klettagarðar,Ried im Innkreis,Riga,Rome,Rostock,Rotterdam (2),Rovaniemi,Ruisbroek (Puurs),Saarbrücken (2),Salo,Salzburg,Sandviken,Santiago,Sarajevo,Sarandi,Savonlinna,Seattle,Seinäjoki,Seoul,Serraria,Split,St. Gallen Hofen,Steyr,Stockholm (2),Strass im Zillertal,Stuttgart,São Carlos,São Luis,São Paulo (I-V),Söderhamn,Tallinn,Tampere,Tarragona,Tartu,Thessaloniki,Trollhättan,Trondheim (2),Turku,Umea,Uppsala,Utrecht,Vaasa,Valencia (3),Velenje,Vihti,Vilnius,Växjö,Wasserverband Hofsteig,Wellington (M1+M2),Wien,Wiener Neustadt,Wildon,Zagreb,Zurich,Zwolle,Ústí nad Labem,České Budějovice
2011,,,,,,207.33599999999996,,,211.19199999999995,,,,,114.576,,,,,,,,,,,,,,,,,56.79,,,94.66,,,,,,,,,,,,,151.7175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.685,,,,,,,,,,,,,,66.75399999999999,,,,,,,,,,,,,,,,,,,,,,,68.96600000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,65.968,,,,,,,,,,,,,,,,,,,,,,,,,,3.876,,137.2425,,14.25,,,,,,,,,,19.68,,,,52.934000000000005
2012,,,,,,192.656,,99.756,219.67799999999997,,,,,109.33,73.95750000000001,,,,,84.33,,,,,,,,,,,62.843999999999994,,,76.062,,,,,,,,,,,,,212.75,,,,,,,,97.565,,,32.496,,,,,,,,22.52333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.970000000000006,,,,,,,,,,,,,,,,,,,,,,,83.22,,,,,,,,,67.742,,,,,,,,,,,,,,,,,,72.394,,,,,,,,,,,,,,,,,,,,,,,,,14.536666666666667,0.188,,137.598,,,,,,,,,,,,26.857999999999997,118.9025,,,39.674
2013,,,,,,139.575,,135.42000000000002,245.97400000000002,37.208000000000006,,,,148.62,126.64,17.824,,,,81.77499999999999,,,,,,,,,,,71.012,,,49.056,,,0.0,,69.61,,,,102.928,34.508,,35.064,213.31,,,,,,,,98.05749999999999,7.025999999999999,,50.35600000000001,,,,,,,,61.06,,,,,,,,,,,,,,,,,,,,,,23.538,,,,,,,,,,,,,,,4.8875,27.917499999999997,,,188.0925,,,,,,,,,,,,,,67.24249999999999,,,,,,,,,,53.81,,46.884,,,,,,,,,,,84.75,,32.388,,,,,,,103.16400000000002,,,,,,,,,,,,,,,,,,46.7325,24.554000000000002,,,,,,,,,,,,,,,,,,,,,,,,34.63,7.909999999999999,,82.19749999999999,,97.296,,,,,,,,,,40.6225,195.255,,,63.8
2014,,,,,14.05,239.94750000000002,,126.5825,231.8925,26.650000000000002,,,,135.8475,126.88000000000001,,,,86.2525,103.065,,,,,,,,91.185,,,,,,52.6,,,,,123.33666666666666,,,,98.19999999999999,42.042500000000004,,27.247500000000002,292.28,,,,21.4175,,,,117.225,73.6675,,,,,,,,,,24.912499999999998,,,,,,6.1425,,14.485,,,,,,,,,,,,,,,,,29.7325,,,,,15.395000000000001,46.9225,7.5375000000000005,,85.855,,,,,,,201.305,,61.07,,,,,,,,,,,,54.345000000000006,,,29.9275,,,,,,,64.97,,,,,,,,,,,16.7675,,63.255,,,,,,,,,,,,,,,,,,,,,15.340000000000002,,,,,,44.089999999999996,,,13.225,,,,,,,,,,,,,,,,13.5125,,,,,,19.51,,,139.07666666666668,13.9975,100.76,,,,,,,,,,26.3825,175.28249999999997,,,
2015,,,,,17.8775,218.47500000000002,,165.7825,238.0675,20.3225,,,,135.2525,38.0575,,,,84.7,70.02250000000001,,,,,,,,110.7975,,,139.065,,,32.53,,,,,104.1425,,,,113.85999999999999,45.0725,,24.14,227.04500000000002,,,,35.5375,,,,119.72000000000001,70.02499999999999,,,,,,,,,,42.63,,,,,,,,,,,,,,,,,,24.3175,,,,25.235,,,,,,,,,,,,92.43,,,29.9075,72.6225,,,241.095,,59.057500000000005,,,,,24.12,,,,,,,56.3975,59.25,,10.305,0.865,,,,,,57.2525,,,,,,,66.8925,,,,,,45.54,,40.337500000000006,,,,25.775,,,,,,,,,47.96666666666667,,,,,,,,,,,,37.379999999999995,,,,,,,,,,,,,,,,,,,22.49,,,4.835,,,28.8925,,,61.635,,90.19250000000001,,,,,,,,,,51.120000000000005,154.2675,,,48.565
2016,,,,,17.919999999999998,,,136.6925,305.4,10.13,,,,203.895,126.57750000000001,,,,,94.485,,,,64.9625,,,,136.81,,,122.97749999999999,,,92.6575,,,,,,,,,149.65,47.435,,69.6575,208.64,,,,50.935,,,,133.42999999999998,,,,,,,,,,,58.769999999999996,,,49.5375,,,9.709999999999999,,27.1725,,,,,,,,,,,,,,30.527500000000003,,,26.995,,,,,21.3,37.88,14.362499999999999,,,,,44.75,72.05,,,894.92,,95.99249999999999,,,,,,,,,,,,81.20249999999999,127.485,,47.212500000000006,,,,,,,,,,,,,,72.5975,,,,13.7325,,46.69,,92.82249999999999,,,,25.51,,,,,,,,,65.1625,,,,,,24.865,,,,,,36.785000000000004,,,14.19,,,,,,,,103.8,,,,,,,,28.945,,,,,,29.35,,,124.2625,12.637500000000001,69.23,,,,,,,,,,70.9425,210.55249999999998,,,77.195
2017,,,,,23.47,275.40749999999997,,,302.3225,11.7475,,,,276.13,165.6875,,,,121.34,159.9675,,,159.59,70.47500000000001,,,57.1775,210.6075,61.06999999999999,,113.7325,,,82.5125,67.63499999999999,,,,,,,,153.99,58.510000000000005,,64.3925,216.1475,,66.85,,28.637500000000003,99.7475,,135.915,218.69000000000003,,,,,,,,,88.7625,102.40750000000001,37.6475,,,65.3425,,,,,,,,,,,,,,,,,,,32.485,,,,,10.44,,,,,,,,,,35.61333333333334,78.24000000000001,130.1475,,,,,,120.995,85.7075,95.83749999999999,,,,,67.23750000000001,,,88.96,,,49.0625,,,,,,111.7975,,,,,42.0475,,,99.04249999999999,,,129.08499999999998,,,91.9175,27.375,22.1825,,,,42.875,,,,,,,,,214.58333333333334,,,,77.0575,,,78.395,115.10499999999999,,,,90.1575,,,,,,,,,225.215,,,,78.9475,,,,,,32.14,,,,,,25.4575,,,105.86250000000001,,151.54000000000002,,,25.8575,,,,,,,76.30250000000001,281.0925,,,58.725
2018,,,,,45.518,312.478,,,323.57666666666665,21.396666666666665,,,,218.77200000000002,215.10000000000002,,,,141.23499999999999,188.45666666666668,,,,78.65,89.42800000000001,,65.42,488.63,43.936,31.36,125.83999999999999,,,72.70400000000001,60.11,,,,139.91,,,43.205999999999996,135.3525,63.019999999999996,,61.0375,185.06333333333336,,79.0325,,37.2775,,,,217.14000000000001,,,,,,,,55.596000000000004,,,67.27749999999999,,28.5075,94.492,,12.135,17.98,,43.337500000000006,11.57,,,,35.8525,27.985,,,29.0025,,,,7.637499999999999,37.345,,,34.265,46.4675,,,,29.924999999999997,61.5975,23.715,,,,,19.669999999999998,125.724,77.112,,,,,,78.84800000000001,,,,,25.6825,25.35,,,31.2725,82.47999999999999,,,54.9625,,,,,,,,,,,,,,75.5975,,,,22.8925,,128.484,28.95,29.678000000000004,,,16.01,57.501999999999995,,,,,,,,25.18,171.384,,,,,,44.92,,157.47,,,,86.272,,,7.445,,21.6625,,,,265.81666666666666,,,,,,,,,,34.96,,,,,,23.740000000000002,,,168.895,24.182500000000005,128.08599999999998,,,30.73,,54.4,,,,,92.096,327.04,,,41.994
2019,,,8.515,,44.821999999999996,346.058,,,431.475,31.5375,,,,208.78399999999996,165.894,,,,,120.16400000000002,,,186.7775,92.97999999999999,86.672,,51.815,,41.87,,134.89000000000001,,,162.20999999999998,76.8075,,,,183.64249999999998,,,62.448,144.7375,60.662499999999994,,77.125,264.96666666666664,9.9225,90.03,,54.5,,,,187.892,,,,,52.708000000000006,,141.64000000000001,57.852,,,88.175,,,91.22000000000001,19.644,,,,,,37.398,,,44.277499999999996,,,,39.839999999999996,,,,,59.94,142.86,,,,33.983999999999995,,,,,,,,,,86.7025,119.77199999999998,119.28399999999999,,242.26333333333335,,,,121.85,,,,,67.122,,,,,60.2,,,71.74499999999999,,16.77,,,,,,,,70.642,,,,142.14,,151.736,,,,78.87,,30.435,,,,68.148,,,304.12600000000003,14.452000000000002,,,,19.034,242.878,,43.095,,,,,,132.4025,,,,129.13600000000002,,,,,,,,,205.262,,174.845,,,,,,,,41.88,,,,,,47.61749999999999,,48.980000000000004,174.94,,135.338,68.14200000000001,,44.7075,,65.676,,,,,152.77,241.488,,,30.58
2020,,,17.236666666666668,,71.708,257.63800000000003,,,410.0025,29.935000000000002,,,,,,,,,,136.36399999999998,,,172.72250000000003,,74.46000000000001,,,,,,140.965,,,102.14599999999999,96.92,,,,,,,42.3375,117.19500000000001,72.22749999999999,,71.185,211.548,9.49,140.9175,,61.9725,,,,144.988,,,,,47.918,,204.64600000000002,54.924,136.93249999999998,,98.41,,36.4425,85.174,36.3525,,37.0675,,27.8975,14.937499999999998,50.622,119.01400000000001,,36.2025,69.55499999999999,,,32.695,,,,13.1325,,81.29750000000001,,58.449999999999996,68.4625,37.524,,102.92999999999999,53.902499999999996,109.615,25.8925,,,,,17.195,102.014,113.4375,,,,,,,114.2325,,,,38.212500000000006,15.19,,,42.655,92.52799999999999,,,57.28750000000001,,,,,,,,,53.83,28.205,50.155,,,,,182.478,,32.8075,,121.31199999999998,,,7.78,,25.28,82.878,,,152.238,18.616,,18.0275,,25.198,162.398,,62.97,,,,49.282500000000006,,119.11749999999999,46.725,,137.81199999999998,146.512,,,13.05,,19.6625,,,,160.30400000000003,,176.8075,36.046,,,,,97.45599999999999,,52.18,,,,,,42.1425,,72.4825,190.126,52.0325,,62.7575,50.410000000000004,38.7875,,61.717999999999996,,,,,360.106,223.936,,,
