Year,Aalborg,Aarhus,Adana,Agia Napa,Almada,Amsterdam,Ankara,Antwerp Deurne,Antwerp Zuid,Athens,Auckland,Australia (55 sites),Australia (59 sites),Barcelona,Basel,Belgrade,Belo Horizonte (2),Bergen (2),Berlin (4),Berne,Boevange,Bologna,Boom,Bordeaux I,Bozen,Brasilia (I-VII),Bratislava C,Bristol,Brno,Brugge,Brussels,Bucharest,Budapest,Castellon,Chemnitz,Christchurch,Cluj Napoca,Concepción,Copenhagen,Curitiba (2),Debrecen,Domžale-Kamnik,Dortmund,Dresden,Dublin,Dülmen,Eindhoven,Eleusis,Erfurt,Esbjerg,Espoo,Fort-de-France P,Fortaleza,Frankfurt (3),Geneva,Geraardsbergen,Goiânia,Gothenburg,Granada,Graz,Groningen,Gävle,Hall-Wattens,Hamburg N,Hannover (2),Helsinki,Huittinen,Hämeenlinna,Innsbruck,Istanbul (II-VII),Istanbul I,Joensuu,João Pessoa,Jyväskylä,Kajaani,Kapfenberg,Karlovy Vary,Karlstad,Kaunas,Kemi,Kitchener,Klagenfurt,Klaipeda,Klosterneuburg,Knittelfeld,Kohtla-Järve (2),Kokkola,Koksijde,Koper,Korneuburg,Kotka,Kouvola,Krakow P,Kranj,Kufstein,Kuopio,Lahti,Lappeenranta,Larnaca,Lausanne,Lebu,Leeuwarden,Limassol,Lisbon,Ljubljana,Lleida,London,Los Angeles,Lugano,Luxembourg,Madrid VdlV,Magdeburg,Mainz,Malta,Mamer,Maribor,Mariehamn,Merchtem,Mersch,Mikkeli,Milan,Molina de Segura,Montreal,Munich G,Mytilene,Mürzzuschlag,Natal,Nicosia (2),Nieuwegein Ijssel.,Ninove,Niterói (2),Novi Sad,Novo mesto,Nuremberg,Næstved,Odense,Oostende,Oslo (2),Ostrava,Oudewater,Oulu,Paphos,Paris Seine Centre,Paris South Suburbs,Piestany,Pietarsaari,Plzeň,Pori,Porto,Porto Alegre (2 - 2024),Porvoo,Prague (2),Purgstall,Queenstown,Rauma,Recife,Region Millstättersee,Reykjavik Klettagarðar,Ried im Innkreis,Riga,Rome,Rostock,Rotterdam (2),Rovaniemi,Ruisbroek (Puurs),Saarbrücken (2),Salo,Salzburg,Sandviken,Santiago,Sarajevo,Savonlinna,Seattle,Seinäjoki,Seoul,Serraria,Split,St. Gallen Hofen,Steyr,Stockholm (2),Strass im Zillertal,Stuttgart,São Luis,São Paulo (I-V),Söderhamn,Tallinn,Tampere,Tarragona,Tartu,Thessaloniki,Trollhättan,Trondheim (2),Turku,Umea,Uppsala,Utrecht,Vaasa,Valencia (3),Velenje,Vihti,Vilnius,Växjö,Wasserverband Hofsteig,Wellington (M1+M2),Wien,Wiener Neustadt,Wildon,Zagreb,Zurich,Zwolle,Ústí nad Labem,České Budějovice
2011,,,,,,0.0,,,5.46,,,,,8.43,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.18,,,,,,,,,,,,,,48.68,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2.93,,0.0,,,,,,,,,,,,0.0,,,,175.49
2012,,,,,,6.41,,5.01,6.33,,,,,26.55,0.0,,,,,19.55,,,,,,,,,,,2.09,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,50.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.11,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,186.72,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.94,,1.4,,,,,,,,,,,,0.0,0.0,,,106.45
2013,,,,,,5.24,,6.64,5.76,4.76,,,,26.51,12.94,0.0,,,,16.01,,,,,,,,,,,1.71,,,0.0,,,0.0,,9.78,,,,0.0,136.61,,0.0,0.0,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3.48,0.0,,,8.96,,,,,,,,,,,,,,5.93,,,,,,,,,0.0,,0.0,,,,,,,,,,,4.0,,123.8,,,,,,,326.6,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.16,,,,,,,,,,,16.71,,,215.29
2014,,,,,0.65,2.96,,2.34,23.11,5.3,,,,22.15,14.13,,,,9.91,10.23,,,,,,,,2.05,,,,,,0.0,,,,,0.0,,,,0.0,133.02,,0.0,,,,,3.52,,,,0.0,0.45,,,,,,,,,,3.7,,,,,,1.59,,1.49,,,,,,,,,,,,,,,,,1.9,,,,,6.15,12.78,0.93,,3.81,,,,,,,0.0,,0.0,,,,,,,,,,,,5.37,,,0.0,,,,,,0.49,,,,,,,,,,,1.27,,0.0,,,,,,,,,,,,,,,,,,,,,2.24,,,,,,0.0,,31.56,,,,,,,,,,,,,,,1.52,,,,,,3.66,,,,3.79,1.19,,,,,,,,,,0.77,21.79,,,
2015,,,,,0.0,6.96,,14.43,8.81,4.4,,,,33.38,60.67,,,,9.2,12.51,,,,,,,,1.19,,,3.67,,,0.0,,,,,11.66,,,,0.0,150.0,,0.0,,,,,4.54,,,,6.29,0.0,,,,,,,,,,5.03,,,,,,,,,,,,,,,,,,0.0,,,,1.07,,,,,,,,,,,,2.32,,,32.27,0.0,,,0.0,,0.0,,,,,0.19,,,,,,,10.05,0.0,,7.18,0.0,,,,,1.01,,,,,,,1.1,,,,,,0.0,,131.86,,,,0.41,,,,,,,,,15.68,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,3.52,,,0.0,,,11.53,,,0.0,,1.16,,,,,,,,,,0.0,23.21,,,161.18
2016,,,,,0.77,,,3.43,9.25,2.97,,,,24.05,18.97,,,,,8.51,,,,0.0,,,,0.0,,,3.84,,,0.0,,,,,,,,,3.73,136.69,,3.53,2.31,,,,89.53,,,,6.86,,,,,,,,,,,83.4,,,2.01,,,2.13,,63.68,,,,,,,,,,,,,,0.0,,,11.76,,,,,32.77,3.76,2.79,,,,,14.04,0.0,,,,,0.37,,,,,,,,,,,,13.77,0.0,,24.8,,,,,,,,,,,,,0.0,,,,12.04,,0.0,,310.21,,,,0.51,,,,,,,,,9.27,,,,,,9.69,,,,,,0.0,,22.52,,,,,,,,24.47,,,,,,,4.07,,,,,,26.98,,,0.0,2.18,0.91,,,,,,,,,,0.0,25.28,,,261.9
2017,,,,,0.85,14.01,,,22.32,3.98,,,,48.95,37.04,,,,14.95,25.72,,,0.0,0.0,,,120.0,0.89,185.67,,6.8,,,0.0,240.57,,,,,,,,0.0,180.18,,0.0,0.0,,211.23,,40.22,0.0,,8.49,18.1,,,,,,,,,2.87,1.72,46.0,,,2.86,,,,,,,,,,,,,,,,,,,0.0,,,,,0.5,,,,,,,,,,88.01,0.0,0.0,,,,,,12.01,85.2,2.03,,,,,0.0,,,10.07,,,8.1,,,,,0.0,,,,,94.77,,,0.0,,,0.0,,,0.0,0.0,78.03,,,,0.47,,,,,,,,,,,,,2.57,,,0.0,0.0,,,,0.0,,,,,,,,7.41,,,,5.86,,,,,24.89,,,,,,17.59,,,0.0,,6.72,,,39.69,,,,,,,0.0,62.04,,,200.16
2018,,,,,1.09,28.58,,,17.5,,,,,47.88,,,,,18.04,,,,,0.0,1.07,,144.02,8.03,114.65,0.0,7.21,,,0.0,196.2,,,,16.22,,,0.0,2.95,174.63,,0.0,2.69,,211.26,,8.27,,,,,,,,,,,,1.69,,,19.02,,4.99,2.12,,19.98,2.38,,46.14,3.24,,,,56.51,2.27,,,7.64,,,,1.59,0.0,,,5.32,9.63,,,,23.41,21.58,8.1,,,,,41.98,1.85,2.3,,,,,,7.93,,,,,0.0,1.09,,,6.7,12.93,,,5.42,,,,,,,,,,,,,0.0,,,,2.66,,0.0,0.0,81.9,,,4.16,0.36,,,,,,,,0.0,31.13,,,,,,5.72,,2.22,,,,0.0,,2.45,,4.29,,,,,,,,,,,,,22.22,,,,,,5.65,,,0.0,19.05,1.02,,,34.06,,1.27,,,,,0.0,,,,111.19
2019,,,,,0.0,31.49,,,28.98,11.32,,,,106.83,37.37,,,,,20.27,,,13.18,0.0,0.0,,,,,,9.83,,,0.0,276.0,,,,23.68,,,0.36,0.0,171.07,,0.0,,0.97,251.75,,26.49,,,,9.51,,,,,5.68,,1.78,3.05,,,33.23,,,1.91,16.2,,,,,,1.65,,,36.93,,,,8.22,,,,,1.81,0.47,,,,2.7,,,,,,,,,,55.93,0.0,16.54,,57.59,,,,6.64,,,,,0.83,,,,,18.76,,,8.01,,0.0,,,,,,,0.0,,,,1.58,,601.16,,,,0.0,,,,,,0.0,,,726.87,1.48,,,,0.0,29.58,,31.42,,,,,,0.0,,,,0.0,,,,,,,,12.73,,13.72,,,,,,,5.92,,,,,,12.97,,1.93,8.79,,8.12,0.0,,31.28,,1.62,,,,,0.0,64.53,,,
2020,,,,,0.0,26.53,,,39.01,18.31,,,,,,,,,,28.61,,,1.01,,1.32,,,,,,11.39,,,0.0,328.95,,,,,,,0.73,0.0,201.51,,0.0,26.61,0.0,435.28,,5.1,,,,8.18,,,,,7.27,,5.19,3.96,5.68,,10.15,,2.47,3.69,28.83,,1.32,,1.85,1.11,1.14,388.75,,6.37,1.02,,,3.34,,,,0.71,,0.41,,2.96,2.08,1.67,,2.12,1.77,19.39,0.72,,,,,18.91,3.76,1.12,,,,,,,142.63,,,,0.0,0.0,,,4.7,11.09,,,9.3,,,,,,,,0.0,0.0,123.56,,,,,702.94,,1.21,,0.0,,,0.0,,1.49,0.0,,,327.64,1.32,,1.72,,5.48,35.78,,76.82,,,,1.87,,0.0,7.54,,0.76,0.0,,1.4,,1.67,,,,9.01,,13.97,6.67,,,,2.13,,1.76,,,,,,4.34,,1.5,4.83,3.07,,0.97,2.94,1.71,,1.8,,,,,6.14,60.38,,,
