Year;Metabolite;Site ID;Country;City;Wednesday;Thursday;Friday;Saturday;Sunday;Monday;Tuesday;Weekday mean;Weekend mean;Daily mean;Latitude;Longitude;Location;City;Country: City
2024;cocaine;AT001;AT;Graz;262.48;436.75;393.81;506.33;385.34;154.01;191.25;296.83;359.87;332.85;47.070.713;15.439.504;ARA Graz;Graz;AT: Graz
2024;cocaine;AT002;AT;Hall-Wattens;351.33;338.08;365.19;569.27;389;374.64;199.22;296.21;424.53;369.53;4.729.168;1.159.284;Abwasserverband Hall in Tirol-Fritzens;Hall-Wattens;AT: Hall-Wattens
2024;cocaine;AT004;AT;Innsbruck;404.95;534.62;484.66;685.12;618.32;471.72;459.93;466.5;564.96;522.76;47.269.212;11.404.102;ARA Innsbruck;Innsbruck;AT: Innsbruck
2024;cocaine;AT005;AT;Kapfenberg;152.07;160.89;169.75;195.53;205.85;128.01;153.8;155.59;174.78;166.56;47.443.562;152.901;KlÑranlage Kapfenberg;Kapfenberg;AT: Kapfenberg
2024;cocaine;AT006;AT;Klagenfurt;283.45;260.79;368.22;391.6;335.03;273.05;267.09;270.44;341.97;311.32;466.357;14.311.817;Wasserverband Wîrthersee Ost;Klagenfurt;AT: Klagenfurt
2024;cocaine;AT008;AT;Knittelfeld;129.4;174.09;187.57;208.13;150.22;168.79;128.34;143.94;178.68;163.79;4.721.595;1.482.719;AWV Knittelfeld;Knittelfeld;AT: Knittelfeld
2024;cocaine;AT010;AT;Kufstein;496.86;598.06;680.88;710.76;803.2;468.69;732.17;609.03;665.88;641.52;47.582.958;1.217.077;Abwasserverband Kufstein;Kufstein;AT: Kufstein
2024;cocaine;AT013;AT;Purgstall;45.24;43.06;43.25;62.04;103.66;113.94;53.59;47.3;80.72;66.4;48.057.812;1.513.545;GAV Erlauftal;Purgstall;AT: Purgstall
2024;cocaine;AT011;AT;Region MillstÑttersee;101.72;120.05;145.09;193.01;246.35;167.65;230.14;150.64;188.02;172;4.681.924;1.352.146;Wasserverband Millstaettersee;Region MillstÑttersee;AT: Region MillstÑttersee
2024;cocaine;AT014;AT;Ried im Innkreis;51.78;80.24;113.32;198.13;73.87;77.55;76.83;69.62;115.72;95.96;482.254.548;13.478.626;Reinhaltungsverband Ried im Innkreis;Ried im Innkreis;AT: Ried im Innkreis
2024;cocaine;AT015;AT;Salzburg;245.27;270.55;288.61;327.49;344.37;250.98;232.02;249.28;302.86;279.9;47.811.195;13.033.229;ARA Siggerwiesen;Salzburg;AT: Salzburg
2024;cocaine;AT016;AT;Steyr;82.81;102.35;107.38;342.8;226.5;122.56;63.85;83;199.81;149.75;4.805.009;1.441.827;Reinhaltungsverband Steyr und Umgebung;Steyr;AT: Steyr
2024;cocaine;AT017;AT;Strass im Zillertal;189.83;225.85;208.53;241.62;295.52;237.98;213.29;209.66;245.91;230.38;47.395.748;1.182.211;AIZ Abwasserverband;Strass im Zillertal;AT: Strass im Zillertal
2024;cocaine;AT003;AT;Wasserverband Hofsteig;287.74;257.25;273.61;541.88;445.79;308.58;279.13;274.71;392.47;342;474.852;96.762;ARA Hofsteig;Wasserverband Hofsteig;AT: Wasserverband Hofsteig
2024;cocaine;AT018;AT;Wien;547.23;393.48;436.94;676.2;452.11;228.03;373.64;438.12;448.32;443.95;48.210.033;16.363.449;HauptklÑranlage Wien;Wien;AT: Wien
2024;cocaine;AT019;AT;Wiener Neustadt;236.42;294.88;283.93;255.89;337.45;297.47;234.62;255.31;293.68;277.24;4.780.279;1.623.318;AWV Wr. Neustadt-SÅd;Wiener Neustadt;AT: Wiener Neustadt
2024;cocaine;AT020;AT;Wildon;101.28;98.14;131.54;177.24;246.07;239.6;165.17;121.53;198.61;165.58;46.885.708;15.518.532;Abwasserverband Grazerfeld;Wildon;AT: Wildon
2024;cocaine;AU002;AU;Australia (59 sites);198.99;208.7;156.31;210.65;398.11;455.68;248.87;218.85;305.19;268.19;-2.521.036;13.534.996;Sum of 59 WWTPs;Australia (59 sites);AU: Australia (59 sites)
2024;cocaine;BE002;BE;Antwerp Zuid;1744.35;2176.28;2478.85;2739.28;1648.74;1778.56;1412.75;1777.8;2161.36;1996.98;51.2;Apr 39;Antwerpen-Zuid;Antwerp Zuid;BE: Antwerp Zuid
2024;cocaine;BE005;BE;Brussels;837.34;1073.23;1067.19;1650.68;1423.61;1310.94;941.4;950.66;1363.1;1186.34;50.86;Apr 36;Brussel-Noord;Brussels;BE: Brussels
2024;cocaine;BR005;BR;Belo Horizonte (2);1340.74;1461.1;4751.5;1843.81;2378.54;1807.21;1305.91;1375.18;2695.26;2189.65;-1.992.562;-4.393.762;"ETE Arruda; ETE Onáa";Belo Horizonte (2);BR: Belo Horizonte (2)
2024;cocaine;BR007;BR;Brasilia (I-VII);786.13;772.9;789.55;1033.42;1041.7;859.61;831.6;796.87;931.07;873.56;-1.580.567;-4.790.921;"ETE Bras°lia Sul; ETE Bras°lia Norte; ETE Melchior; ETE Gama; ETE Palanltina; ETE Riacho Fundo; ETE S∆o Sebasti∆o";Brasilia (I-VII);BR: Brasilia (I-VII)
2024;cocaine;BR010;BR;Curitiba (2);1315.76;920.07;822.03;746.61;1140.48;924.73;1214.43;1150.09;908.46;1012.02;-2.543.861;-4.925.411;"ETE Atuba; ETE BelÇm";Curitiba (2);BR: Curitiba (2)
2024;cocaine;BR011;BR;Fortaleza;916.49;948.64;857.82;1039.69;1151.82;742.77;546.53;803.89;948.03;886.25;-371.560.445;-3.853.717.498;ETE EPC;Fortaleza;BR: Fortaleza
2024;cocaine;BR013;BR;GoiÉnia;267.51;355.79;597.5;550.32;597.15;364.05;665.39;429.57;527.25;485.39;-1.662.767.685;-4.926.278.589;ETE HÇlio S. Brito;GoiÉnia;BR: GoiÉnia
2024;cocaine;BR017;BR;Natal;1973.42;1545.51;2130.84;1936.95;1633.71;2595.83;2220.82;1913.25;2074.33;2005.3;-578.555;-3.519.824;ETE Baldo;Natal;BR: Natal
2024;cocaine;BR019;BR;Niter¢i (2);522.33;502.66;567.92;662;517.96;520.61;446.72;495.1;567.13;537.98;-2.288.575.764;-4.312.609.884;"ETE Icara°; ETE Toc-Toc";Niter¢i (2);BR: Niter¢i (2)
2024;cocaine;BR023;BR;Porto Alegre (2 - 2024);1170.42;990.45;528.45;1011.06;1462.41;1311.38;1022.99;1066.47;1078.33;1073.45;-3.003.508;-5.121.767;"ETE Navegantes; ETE Serraria";Porto Alegre (2 - 2024);BR: Porto Alegre (2 - 2024)
2024;cocaine;BR024;BR;Recife;234.8;172.41;213.01;150.06;256.57;157.59;217.06;208.09;194.31;200.22;-805.756;-3.487.725;ETE Cabanga;Recife;BR: Recife
