;Year;City;Daily mean;Veränderung (%)
0;2014;Dortmund;254.51;
1;2015;Dortmund;292.04;14.745982476130614
2;2016;Dortmund;448.21;53.47555129434323
3;2017;Dortmund;447.23;-0.21864750898015206
4;2018;Dortmund;403.26;-9.83163025736199
5;2019;Dortmund;390.12;-3.258443683975598
6;2020;Dortmund;325.65000000000003;-16.52568440479851
7;2021;Dortmund;495.34;52.1080915092891
8;2022;Dortmund;364.51;-26.412161343723504
9;2023;Dortmund;624.8299999999999;71.41642204603438
10;2024;Dortmund;517.83;-17.12465790695068
