Year;Country;City;Wednesday;Thursday;Friday;Saturday;Sunday;Monday;Tuesday;Weekday mean;Weekend mean;Daily mean
2014;DE;Dresden;7.81;6.79;7.33;9.41;9.58;9.98;7.8;7.47;9.08;8.39
2015;DE;Dresden;6.01;6.23;6.88;8.87;12.62;7.01;7.28;6.51;8.84;7.84
2016;DE;Dresden;14.26;14.57;17.08;23.95;21.44;15.91;16.68;15.17;19.6;17.7
2017;DE;Dresden;16.94;16.82;19.61;23.21;32.07;19.98;17.41;17.05;23.72;20.86
2018;DE;Dresden;26.2;26.78;29.38;58.06;48.74;19.59;24.29;25.76;38.94;33.29
2019;DE;Dresden;20.92;20.85;22.78;43.68;43.61;26.05;19.07;20.28;34.03;28.14
2020;DE;Dresden;36.01;29.29;54.13;48.68;57.01;34.61;35.28;33.53;48.61;42.14
2021;DE;Dresden;44.33;33.6;53.36;111.06;28.46;49.51;34.19;41.37;63.01;50.65
2022;DE;Dresden;30.07;40.94;48.12;65.76;73.68;43.64;38.92;36.64;57.8;48.73
2023;DE;Dresden;66.39;65.2;79.93;118.7;109.08;80.58;77.41;69.67;97.07;85.33
2024;DE;Dresden;116.28;96.1;103.04;108.96;120.14;89.55;79.34;97.24;105.42;101.92
