,Year,Metabolite,Site ID,Country,City,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
50,2024,MDMA,DE008,DE,Chemnitz,9.15,6.77,11.69,11.05,21.84,13.8,7.66,7.86,14.6,11.71
51,2024,MDMA,DE009,DE,Dortmund,23.01,79.6,33.56,27.56,48.22,29.71,17.82,40.14,34.77,37.07
53,2024,MDMA,DE012,DE,Erfurt,62.24,20.8,14.18,19.76,45.36,22.51,15.36,32.8,25.45,28.6
54,2024,MDMA,DE018,DE,Hamburg N,12.09,7.57,18.77,48.54,56.32,30.5,20.54,13.4,38.53,27.76
57,2024,MDMA,DE026,DE,Munich G,32.6,21.86,107.88,30.54,48.64,20.68,13.4,22.62,51.94,39.37
58,2024,MDMA,DE028,DE,Nuremberg,9.89,10.88,7.9,16.49,29.01,22.2,11.69,10.82,18.9,15.44
59,2024,MDMA,DE030,DE,Saarbrücken (2),24.69,19.47,19.53,38.35,43.39,33.23,19.79,21.32,33.63,28.35
60,2024,MDMA,DE033,DE,Stuttgart,14.77,12.44,8.87,29.6,49.99,23.29,20.94,16.05,27.94,22.84
201,2024,amphetamine,DE008,DE,Chemnitz,24.15,29.09,31.46,23.1,27.99,29.2,27.03,26.76,27.94,27.43
202,2024,amphetamine,DE009,DE,Dortmund,250.44,451.53,184.82,263.92,199.21,233.78,251.68,317.88,220.43,262.2
204,2024,amphetamine,DE012,DE,Erfurt,59.99,55.04,66.94,66.49,76.4,63.54,63.93,59.65,68.34,64.62
205,2024,amphetamine,DE018,DE,Hamburg N,49.0,30.76,76.86,69.96,69.59,75.36,59.94,46.57,72.94,61.64
208,2024,amphetamine,DE026,DE,Munich G,40.48,32.77,38.35,40.37,38.77,39.04,35.29,36.18,39.13,37.87
209,2024,amphetamine,DE028,DE,Nuremberg,46.94,58.73,49.32,55.26,57.37,59.8,44.87,50.18,55.44,53.19
210,2024,amphetamine,DE030,DE,Saarbrücken (2),485.48,495.73,508.4,491.6,551.82,496.05,460.83,480.68,511.97,498.56
211,2024,amphetamine,DE033,DE,Stuttgart,122.58,94.44,107.25,106.48,125.15,92.41,129.62,115.55,107.82,111.13
