Stadt;Jahr;Gesamt_Berichte;Relevante_Berichte;Durchschnitts_Score;Frequenz_Prozent;Diff_Score;Diff_Frequenz
Chemnitz;2018;1;0;0,0;0,0;;
Chemnitz;2019;15;0;0,0;0,0;0,0;0,0
Chemnitz;2020;56;2;0,0046;3,5714;0,0046;3,5714
Chemnitz;2021;62;0;0,0;0,0;-0,0046;-3,5714
Chemnitz;2022;90;0;0,0;0,0;0,0;0,0
Chemnitz;2023;141;3;0,0024;2,1277;0,0024;2,1277
Chemnitz;2024;80;3;0,0038;3,75;0,0014;1,6223
Chemnitz;2025;242;4;0,0022;1,6529;-0,0016;-2,0971
Dortmund;2021;86;3;0,0035;3,4884;;
Dortmund;2022;2381;94;0,0051;3,9479;0,0016;0,4595
Dortmund;2023;2299;118;0,0067;5,1327;0,0015;1,1847
Dortmund;2024;2223;88;0,0055;3,9586;-0,0011;-1,1741
Dortmund;2025;3811;52;0,002;1,3645;-0,0035;-2,5941
Erfurt;2018;3;0;0,0;0,0;;
Erfurt;2019;38;0;0,0;0,0;0,0;0,0
Erfurt;2020;112;6;0,0116;5,3571;0,0116;5,3571
Erfurt;2021;134;2;0,0017;1,4925;-0,0099;-3,8646
Erfurt;2022;137;3;0,0022;2,1898;0,0005;0,6972
Erfurt;2023;354;16;0,0066;4,5198;0,0044;2,33
Erfurt;2024;1752;28;0,002;1,5982;-0,0047;-2,9216
Erfurt;2025;2470;25;0,0016;1,0121;-0,0004;-0,586
München;2016;4;1;0,0193;25,0;;
München;2017;10;1;0,0096;10,0;-0,0097;-15,0
München;2018;31;2;0,008;6,4516;-0,0016;-3,5484
München;2019;126;5;0,0059;3,9683;-0,0021;-2,4834
München;2020;606;16;0,003;2,6403;-0,0029;-1,328
München;2021;632;21;0,004;3,3228;0,001;0,6825
München;2022;762;21;0,0031;2,7559;-0,0009;-0,5669
München;2023;919;61;0,0063;6,6376;0,0031;3,8817
München;2024;1488;50;0,0035;3,3602;-0,0027;-3,2774
München;2025;2447;44;0,0022;1,7981;-0,0014;-1,5621
Nuernberg;2016;2;0;0,0;0,0;;
Nuernberg;2017;3;0;0,0;0,0;0,0;0,0
Nuernberg;2018;3;0;0,0;0,0;0,0;0,0
Nuernberg;2019;21;0;0,0;0,0;0,0;0,0
Nuernberg;2020;130;3;0,0036;2,3077;0,0036;2,3077
Nuernberg;2021;84;2;0,0008;2,381;-0,0028;0,0733
Nuernberg;2022;112;3;0,0047;2,6786;0,004;0,2976
Nuernberg;2023;209;6;0,0038;2,8708;-0,001;0,1922
Nuernberg;2024;981;13;0,0015;1,3252;-0,0023;-1,5456
Nuernberg;2025;1320;10;0,0014;0,7576;-0,0001;-0,5676
Saarbruecken;2015;1;1;0,1488;100,0;;
Saarbruecken;2016;8;0;0,0;0,0;-0,1488;-100,0
Saarbruecken;2017;6;1;0,0182;16,6667;0,0182;16,6667
Saarbruecken;2018;18;1;0,002;5,5556;-0,0162;-11,1111
Saarbruecken;2019;53;3;0,0033;5,6604;0,0013;0,1048
Saarbruecken;2020;81;3;0,0031;3,7037;-0,0002;-1,9567
Saarbruecken;2021;115;3;0,0042;2,6087;0,001;-1,095
Saarbruecken;2022;98;2;0,0024;2,0408;-0,0017;-0,5679
Saarbruecken;2023;174;8;0,0046;4,5977;0,0021;2,5569
Saarbruecken;2024;488;3;0,0004;0,6148;-0,0041;-3,9829
Saarbruecken;2025;829;2;0,0002;0,2413;-0,0002;-0,3735
